id,entity,entity_type,original_label
10.1101/2025.10.16.682893,infection,Disease,DISEASE
10.1101/2025.10.16.682893,JN.1/KP.2,Disease,DISEASE
10.1101/2025.10.16.682893,S-induced,Drug,CHEMICAL
10.1101/2025.10.16.682699,acute respiratory syndrome coronavirus 2,Disease,DISEASE
10.1101/2025.10.16.682699,RBD,Disease,DISEASE
10.1101/2025.10.16.682699,{Delta}3a7b-Nluc,Drug,CHEMICAL
10.1101/2025.10.16.682699,ARM,Drug,CHEMICAL
10.1101/2025.10.17.683096,SARS-CoV-2 infection,Disease,DISEASE
10.1101/2025.10.17.683096,inflammation,Disease,DISEASE
10.1101/2025.10.17.683096,viral infection,Disease,DISEASE
10.1101/2025.10.17.683096,infection,Disease,DISEASE
10.1101/2025.10.17.683096,AXiAEC,Drug,CHEMICAL
10.1101/2025.10.17.683096,ALI,Disease,DISEASE
10.1101/2025.10.17.683096,SARS-CoV-2 infected,Disease,DISEASE
10.1101/2025.10.17.683096,LOC SARS-CoV-2 infection,Disease,DISEASE
10.1101/2025.10.16.682669,dibasic,Drug,CHEMICAL
10.1101/2025.10.16.682669,OC43,Disease,DISEASE
10.1101/2025.10.16.682991,infection,Disease,DISEASE
10.1101/2025.10.16.682991,viral infections,Disease,DISEASE
10.1101/2025.10.15.682635,trametinib,Drug,CHEMICAL
10.1101/2025.10.15.682635,sorafenib,Drug,CHEMICAL
10.1101/2025.10.15.682635,coronavirus infections,Disease,DISEASE
10.1101/2025.10.17.682775,SARS-CoV-2 infection,Disease,DISEASE
10.1101/2025.10.17.683077,Tyrosine,Drug,CHEMICAL
10.1101/2025.10.17.683077,pan-coronaviruses infection,Disease,DISEASE
10.1101/2025.10.17.683077,HGS deficiency,Disease,DISEASE
10.1101/2025.10.17.683077,riboflavin tetrabutyrate,Drug,CHEMICAL
10.1101/2025.10.17.683077,RTB,Drug,CHEMICAL
10.1101/2025.10.15.682549,nucleic acid,Drug,CHEMICAL
10.1101/2025.10.15.682549,weight loss,Disease,DISEASE
10.1101/2025.10.12.681938,nilotinib,Drug,CHEMICAL
10.1101/2025.10.12.681938,tecovirimat,Drug,CHEMICAL
10.1101/2025.10.12.681938,ST-246,Drug,CHEMICAL
10.1101/2025.10.11.681833,SARS-CoV-2 infection,Disease,DISEASE
10.1101/2025.10.11.681833,urea,Drug,CHEMICAL
