source,target,source_type,target_type,relation,confidence,sentence,doi
JN.1/KP.2,S-induced,Disease,Drug,associated_with,0.390625,We found that administration of the JN.1/KP.2 booster elicited broadly neutralizing antibody responses against recently circulating SARS-CoV-2 variants that were accounted for by recall of Wu S-induce,10.1101/2025.10.16.682893
RBD,{Delta}3a7b-Nluc,Disease,Drug,associated_with,0.43859649122807015,"Using a nanoluciferase (Nluc)-expressing attenuated recombinant SARS-CoV-2 lacking the open reading frames (ORF) 3a and 7b ({Delta}3a7b-Nluc), we characterized resistance profiles of two broadly prote",10.1101/2025.10.16.682699
RBD,ARM,Disease,Drug,associated_with,0.8264462809917356,Serial passaging of {Delta}3a7b-Nluc under selective pressure identified a 1301B7 antibody-resistant mutants (ARM-B7) harboring an RBD mutation (S371F) that conferred resistance to 1301B7 and other RB,10.1101/2025.10.16.682699
{Delta}3a7b-Nluc,ARM,Drug,Drug,associated_with,0.5263157894736842,Serial passaging of {Delta}3a7b-Nluc under selective pressure identified a 1301B7 antibody-resistant mutants (ARM-B7) harboring an RBD mutation (S371F) that conferred resistance to 1301B7 and other RB,10.1101/2025.10.16.682699
RBD,ARM,Disease,Drug,treated_by,0.5681818181818182,"In contrast, no ARM emerged under treatment with 1249A8, or an antibody cocktail of 1301B7 (RBD) + 1249A8 (SH).",10.1101/2025.10.16.682699
SARS-CoV-2 infection,inflammation,Disease,Disease,causes,0.6993006993006994,"The most severe manifestation of COVID-19 is observed in the distal lung, where SARS-CoV-2 infection can result in massive inflammation and barrier breakdown.",10.1101/2025.10.17.683096
SARS-CoV-2 infection,infection,Disease,Disease,causes,0.9009009009009008,"The most severe manifestation of COVID-19 is observed in the distal lung, where SARS-CoV-2 infection can result in massive inflammation and barrier breakdown.",10.1101/2025.10.17.683096
inflammation,infection,Disease,Disease,causes,0.7575757575757576,"The most severe manifestation of COVID-19 is observed in the distal lung, where SARS-CoV-2 infection can result in massive inflammation and barrier breakdown.",10.1101/2025.10.17.683096
viral infection,infection,Disease,Disease,associated_with,0.9433962264150942,Human-derived microphysiological systems pose a promising new class of in vitro models to study viral infection in a relevant context.,10.1101/2025.10.17.683096
SARS-CoV-2 infection,infection,Disease,Disease,associated_with,0.9009009009009008,"Therefore, we aimed to develop a Lung-on-Chip (LOC) model for studying SARS-CoV-2 infection at the alveolar barrier.",10.1101/2025.10.17.683096
SARS-CoV-2 infection,AXiAEC,Disease,Drug,associated_with,0.5524861878453039,"Using an immortalized alveolar epithelial cell line, AXiAEC, and human lung microvascular endothelial cells (hLMVEC) we established a SARS-CoV-2 infection model on a LOC system.",10.1101/2025.10.17.683096
infection,AXiAEC,Disease,Drug,associated_with,0.5208333333333334,"Using an immortalized alveolar epithelial cell line, AXiAEC, and human lung microvascular endothelial cells (hLMVEC) we established a SARS-CoV-2 infection model on a LOC system.",10.1101/2025.10.17.683096
SARS-CoV-2 infection,ALI,Disease,Disease,associated_with,0.819672131147541,Our results demonstrated that AXiAEC maturation at the air-liquid interface (ALI) is essential for SARS-CoV-2 infection.,10.1101/2025.10.17.683096
infection,ALI,Disease,Disease,associated_with,0.7518796992481203,Our results demonstrated that AXiAEC maturation at the air-liquid interface (ALI) is essential for SARS-CoV-2 infection.,10.1101/2025.10.17.683096
AXiAEC,ALI,Drug,Disease,associated_with,0.6802721088435374,Our results demonstrated that AXiAEC maturation at the air-liquid interface (ALI) is essential for SARS-CoV-2 infection.,10.1101/2025.10.17.683096
SARS-CoV-2 infection,LOC SARS-CoV-2 infection,Disease,Disease,associated_with,0.9615384615384615,"Finally, we evaluated the application of the LOC SARS-CoV-2 infection model for efficacy testing and demonstrated the antiviral effect of remdesivir.",10.1101/2025.10.17.683096
