source,relation,target,confidence
JN.1/KP.2,associated_with,S-induced,0.390625
RBD,associated_with,{Delta}3a7b-Nluc,0.4385964912280701
RBD,associated_with,ARM,0.8264462809917356
{Delta}3a7b-Nluc,associated_with,ARM,0.5263157894736842
RBD,treated_by,ARM,0.5681818181818182
SARS-CoV-2 infection,causes,inflammation,0.6993006993006994
SARS-CoV-2 infection,causes,infection,0.9009009009009008
inflammation,causes,infection,0.7575757575757576
viral infection,associated_with,infection,0.9433962264150942
SARS-CoV-2 infection,associated_with,infection,0.9009009009009008
SARS-CoV-2 infection,associated_with,AXiAEC,0.5524861878453039
infection,associated_with,AXiAEC,0.5208333333333334
SARS-CoV-2 infection,associated_with,ALI,0.819672131147541
infection,associated_with,ALI,0.7518796992481203
AXiAEC,associated_with,ALI,0.6802721088435374
SARS-CoV-2 infection,associated_with,LOC SARS-CoV-2 infection,0.9615384615384616
infection,associated_with,LOC SARS-CoV-2 infection,0.8695652173913044
infection,associated_with,viral infections,0.9433962264150942
trametinib,associated_with,sorafenib,0.8695652173913044
trametinib,treats,coronavirus infections,0.5813953488372093
sorafenib,treats,coronavirus infections,0.6369426751592357
Tyrosine,associated_with,pan-coronaviruses infection,0.6493506493506493
riboflavin tetrabutyrate,associated_with,RTB,0.7936507936507936
nilotinib,associated_with,tecovirimat,0.4716981132075471
nilotinib,associated_with,ST-246,0.4219409282700421
tecovirimat,associated_with,ST-246,0.8
urea,associated_with,hydrogen bond donor,0.8064516129032259
SARS-CoV-2 infection,treated_by,once-daily,0.6622516556291391
uridine,associated_with,ARCA,0.6993006993006994
PASC,associated_with,infection,0.7633587786259541
PASC,associated_with,infected with SARS-CoV-2 and viral,0.8620689655172414
infection,associated_with,infected with SARS-CoV-2 and viral,0.4761904761904761
infection,associated_with,neurocognitive and behavioral impairments,0.6944444444444444
infection,associated_with,neuroinflammation,0.398406374501992
infection,associated_with,inflammation,0.390625
neurocognitive and behavioral impairments,associated_with,neuroinflammation,0.4830917874396134
neurocognitive and behavioral impairments,associated_with,inflammation,0.4716981132075471
neuroinflammation,associated_with,inflammation,0.9523809523809524
PASC,associated_with,inflammation,0.6896551724137931
PASC,associated_with,neuroinflammation,0.819672131147541
PASC,associated_with,chronic disease,0.4672897196261683
infection,causes,neuroinflammation,0.7246376811594204
infection,causes,inflammation,0.7518796992481203
infection,causes,chronic disease,0.5050505050505051
neuroinflammation,causes,inflammation,0.9523809523809524
neuroinflammation,causes,chronic disease,0.4237288135593219
inflammation,causes,chronic disease,0.4329004329004329
infection,treated_by,anti-CD44,0.4166666666666667
infection,associated_with,weight loss,0.6369426751592357
anti-CD44,treats,weight loss,0.5464480874316939
infection,associated_with,pulmonary infection,0.9090909090909092
mucormycosis,causes,diabetes,0.5181347150259067
mucormycosis,associated_with,zinc,0.625
mucormycosis,associated_with,Rhizopus arrhizus,0.6493506493506493
zinc,associated_with,Rhizopus arrhizus,0.8403361344537815
zinc,associated_with,hydrogen peroxide,0.3663003663003663
zinc,associated_with,sodium chloride,0.3278688524590164
hydrogen peroxide,associated_with,sodium chloride,0.7575757575757576
amphotericin B,associated_with,posaconazole,0.8403361344537815
ergosterol,associated_with,chitosan,0.8
ergosterol,associated_with,iron,0.5050505050505051
chitosan,associated_with,iron,0.5780346820809249
zinc,associated_with,iron,0.3759398496240601
Rhizopus arrhizus,associated_with,iron,0.4237288135593219
coronavirus infection,associated_with,infection,0.8928571428571428
upper respiratory tract,associated_with,infection,0.4761904761904761
infection,associated_with,respiratory disease,0.6666666666666666
cough,associated_with,headache,0.9345794392523364
cough,associated_with,fatigue,0.8264462809917356
headache,associated_with,fatigue,0.8771929824561403
cancer,associated_with,HPV-associated cancer,0.8695652173913044
PD,associated_with,PK,0.7874015748031495
Respiratory Syndrome,associated_with,coronavirus disease 2019,0.53475935828877
"nirmatrelvir or remdesivir, suggesting the feasibility of treating",associated_with,infections,0.5988023952095809
nontuberculous mycobacterial,associated_with,NTM,0.7692307692307692
NTM,associated_with,infection,0.8264462809917356
NTM,associated_with,NTM-associated diseases,0.7575757575757576
Mycobacterium avium,associated_with,avium,0.8771929824561403
NTM,associated_with,terrae,0.4807692307692307
Respiratory Syndrome,associated_with,SARS,0.7352941176470589
